Date,Close,Open,High,Low,Volume (in Billion)
2001-03-27,"1,177.75","1,161.60","1,182.70","1,157.25",34.35
2001-03-28,"1,206.20","1,177.55","1,209.60","1,177.55",31.73
2001-03-29,"1,195.10","1,204.90","1,210.10","1,185.00",31.58
2001-03-30,"1,148.20","1,195.05","1,195.25","1,144.65",33.96
2001-04-02,"1,138.10","1,148.10","1,148.10","1,094.35",40.16
2001-04-03,"1,149.25","1,136.65","1,153.10","1,128.10",29.80
2001-04-04,"1,136.65","1,146.10","1,146.15","1,120.35",27.09
2001-04-06,"1,139.60","1,137.55","1,171.85","1,133.05",36.17
2001-04-09,"1,128.35","1,137.60","1,138.55","1,116.10",28.40
2001-04-10,"1,103.05","1,129.10","1,129.75","1,093.05",35.20
2001-04-11,"1,066.80","1,104.90","1,116.85","1,056.10",39.18
2001-04-12,"1,024.90","1,066.75","1,066.75","1,001.80",47.08
2001-04-16,"1,044.60","1,024.00","1,049.40","1,000.10",44.79
2001-04-17,"1,067.00","1,044.85","1,072.90","1,037.70",50.80
2001-04-18,"1,103.40","1,066.50","1,106.30","1,063.05",55.98
2001-04-19,"1,144.45","1,103.60","1,159.30","1,103.60",70.68
2001-04-20,"1,144.00","1,145.75","1,156.45","1,120.60",49.36
2001-04-23,"1,149.75","1,144.05","1,162.05","1,137.30",48.55
2001-04-24,"1,146.30","1,149.60","1,149.60","1,128.40",42.01
2001-04-25,"1,155.35","1,146.50","1,162.85","1,142.30",52.93
2001-04-26,"1,143.75","1,155.40","1,170.20","1,138.85",55.93
2001-04-27,"1,101.30","1,143.65","1,143.65","1,078.10",56.50
2001-04-30,"1,125.25","1,101.45","1,127.90","1,101.45",42.75
2001-05-02,"1,137.20","1,125.45","1,150.65","1,125.25",43.26
2001-05-03,"1,122.05","1,137.15","1,139.85","1,117.70",35.70
2001-05-04,"1,130.05","1,121.45","1,131.95","1,113.65",42.01
2001-05-07,"1,139.20","1,130.05","1,145.40","1,130.05",35.26
2001-05-08,"1,148.95","1,139.25","1,151.95","1,138.20",43.30
2001-05-09,"1,149.25","1,149.90","1,164.30","1,145.25",55.61
2001-05-10,"1,144.95","1,149.10","1,151.60","1,139.25",37.68
2001-05-11,"1,140.50","1,144.10","1,146.85","1,136.90",42.03
2001-05-14,"1,140.80","1,140.45","1,146.25","1,134.05",32.68
2001-05-15,"1,145.30","1,140.75","1,147.75","1,096.25",45.13
2001-05-16,"1,151.15","1,147.10","1,163.15","1,146.05",48.49
2001-05-17,"1,174.95","1,151.20","1,179.00","1,150.60",62.57
2001-05-18,"1,172.80","1,175.00","1,187.65","1,169.20",53.43
2001-05-21,"1,169.45","1,172.95","1,182.65","1,166.70",43.13
2001-05-22,"1,168.10","1,169.50","1,176.20","1,165.65",37.28
2001-05-23,"1,179.10","1,168.25","1,181.80","1,167.00",40.54
2001-05-24,"1,181.85","1,179.10","1,190.15","1,177.55",49.24
2001-05-25,"1,174.90","1,181.95","1,188.50","1,171.35",44.05
2001-05-28,"1,193.20","1,174.95","1,194.50","1,174.45",45.58
2001-05-29,"1,198.45","1,193.25","1,202.05","1,193.25",44.86
2001-05-30,"1,177.55","1,199.50","1,207.00","1,173.75",53.46
2001-05-31,"1,167.90","1,177.50","1,177.50","1,154.90",51.33
2001-06-01,"1,148.05","1,168.10","1,175.80","1,146.90",45.59
2001-06-04,"1,127.20","1,148.00","1,154.45","1,125.35",39.21
2001-06-05,"1,115.60","1,127.15","1,130.65","1,106.80",44.90
2001-06-06,"1,115.70","1,117.50","1,132.95","1,114.00",34.92
2001-06-07,"1,112.35","1,115.05","1,116.10","1,095.45",43.85
2001-06-08,"1,126.60","1,112.45","1,128.90","1,112.45",47.21
2001-06-11,"1,131.10","1,126.55","1,134.80","1,122.35",35.44
2001-06-12,"1,127.15","1,131.05","1,133.30","1,121.80",39.27
2001-06-13,"1,129.00","1,127.10","1,132.95","1,126.90",32.96
2001-06-14,"1,112.75","1,128.95","1,128.95","1,110.15",40.35
2001-06-15,"1,087.75","1,112.70","1,112.70","1,084.20",45.84
2001-06-18,"1,078.30","1,087.75","1,087.75","1,064.40",42.08
2001-06-19,"1,096.65","1,078.25","1,099.70","1,075.45",37.83
2001-06-20,"1,097.60","1,096.35","1,100.55","1,084.70",31.01
2001-06-21,"1,095.20","1,097.90","1,102.45","1,090.25",37.93
2001-06-22,"1,087.65","1,095.85","1,097.80","1,081.30",37.68
2001-06-25,"1,067.00","1,087.10","1,087.10","1,064.40",39.75
2001-06-26,"1,096.60","1,066.40","1,099.80","1,060.05",50.43
2001-06-27,"1,096.10","1,096.60","1,102.80","1,086.75",46.77
2001-06-28,"1,094.00","1,095.85","1,101.00","1,090.20",31.05
2001-06-29,"1,107.90","1,094.05","1,114.35","1,091.05",39.50
2001-07-02,"1,100.75","1,108.35","1,119.55","1,097.95",18.08
2001-07-03,"1,069.80","1,097.40","1,097.40","1,066.05",30.62
2001-07-04,"1,067.95","1,068.05","1,074.60","1,062.20",26.71
2001-07-05,"1,069.75","1,068.35","1,079.35","1,066.95",27.27
2001-07-06,"1,065.10","1,069.15","1,069.15","1,059.60",23.38
2001-07-09,"1,059.50","1,064.80","1,064.80","1,052.10",18.02
2001-07-10,"1,072.05","1,059.95","1,078.10","1,059.25",21.88
2001-07-11,"1,083.65","1,072.15","1,088.50","1,068.35",24.69
2001-07-12,"1,105.50","1,083.80","1,109.00","1,083.80",37.17
